word,level_index,level
OPEN,2,1
OPPOSITE,6,5
OPTION,7,academic
OR,3,2
ORDER,5,4
ORIENT,7,academic
OTHER,6,5
OUR,1,k
OUT,1,k
OUTCOME,7,academic
OUTPUT,7,academic
OUTSIDE,3,2
OVER,1,k
OVERALL,7,academic
OVERLAP,7,academic
OVERSEAS,7,academic
OWN,2,1
OXYGEN,6,5
PAGE,6,5
PAINT,5,4
PAIR,6,5
PANEL,7,academic
PAPER,1,k
PARADIGM,7,academic
PARAGRAPH,6,5
PARALLEL,7,academic
PARAMETER,7,academic
PARK,6,5
PART,6,5
PARTICIPATE,7,academic
PARTICULAR,6,5
PARTNER,7,academic
PARTY,1,k
PASSED,6,5
PASSIVE,7,academic
PAST,6,5
PATTERN,6,5
PAY,6,5
PEOPLE,6,5
PER,6,5
PERCEIVE,7,academic
PERCENT,7,academic
PERHAPS,3,2
PERIOD,6,5
PERSIST,7,academic
PERSON,3,2
PERSPECTIVE,7,academic
PHASE,7,academic
PHENOMENON,7,academic
PHILOSOPHY,7,academic
PHRASE,5,4
PHYSICAL,7,academic
PICK,4,3
PICKED,5,4
PICTURE,1,k
PIECE,2,1
PIG,1,k
PLACE,1,k
PLAINS,3,2
PLAN,6,5
PLANE,6,5
PLANETS,6,5
PLANT,2,1
PLAY,0,prek
PLEASE,1,k
PLURAL,6,5
PLUS,7,academic
POEM,5,4
POINT,6,5
POLE,5,4
POLICY,7,academic
POOR,6,5
PORTION,7,academic
POSE,7,academic
POSITION,6,5
POSITIVE,7,academic
POSSIBLE,6,5
POTENTIAL,7,academic
POUNDS,6,5
POWER,6,5
PRACTICE,6,5
PRACTITIONER,7,academic
PRECEDE,7,academic
PRECISE,7,academic
PREDICT,7,academic
PREDOMINANT,7,academic
PRELIMINARY,7,academic
PREPARED,6,5
PRESENT,6,5
PRESIDENT,5,4
PRESUME,7,academic
PRETTY,1,k
PREVIOUS,7,academic
PRIMARY,7,academic
PRIME,7,academic
PRINCIPAL,7,academic
PRINCIPLE,7,academic
PRINTED,4,3
PRIOR,7,academic
PRIORITY,7,academic
PROBABLY,5,4
PROBLEM,2,1
PROCEED,7,academic
PROCESS,6,5
PRODUCE,5,4
PRODUCTS,5,4
PROFESSIONAL,7,academic
PROHIBIT,7,academic
PROJECT,7,academic
PROMOTE,7,academic
PROPERTY,6,5
PROPORTION,7,academic
PROSPECT,7,academic
PROTOCOL,7,academic
PROVIDE,4,3
PSYCHOLOGY,7,academic
PUBLICATION,7,academic
PUBLISH,7,academic
PULL,3,2
PULLED,6,5
PURCHASE,7,academic
PURSUE,7,academic
PUSHED,3,2
PUT,2,1
QUALITATIVE,7,academic
QUESTIONS,2,1
QUICKLY,3,2
QUIET,6,5
QUITE,5,4
QUOTE,7,academic
RABBIT,1,k
RACE,6,5
RADICAL,7,academic
RADIO,4,3
RAIN,1,k
RAISED,6,5
RAN,1,k
RANDOM,7,academic
RANGE,7,academic
RATHER,5,4
RATIO,7,academic
RATIONAL,7,academic
REACHED,5,4
REACT,7,academic
READ,3,2
READY,3,2
REAL,6,5
REASON,6,5
RECEIVED,6,5
RECORD,6,5
RECOVER,7,academic
RED,0,prek
REFINE,7,academic
REGIME,7,academic
REGION,3,2
REGISTER,7,academic
REGULATE,7,academic
REINFORCE,7,academic
REJECT,7,academic
RELAX,7,academic
RELEASE,7,academic
RELEVANT,7,academic
RELUCTANCE,7,academic
RELY,7,academic
REMAIN,6,5
REMEMBER,5,4
REMOVE,7,academic
REPEATED,4,3
REPORT,6,5
REPRESENT,6,5
REQUIRE,7,academic
RESEARCH,7,academic
RESIDE,7,academic
RESOLVE,7,academic
RESOURCE,7,academic
RESPOND,7,academic
REST,5,4
RESTORE,7,academic
RESTRAIN,7,academic
RESTRICT,7,academic
RESULT,3,2
RETAIN,7,academic
RETURN,3,2
REVEAL,7,academic
REVENUE,7,academic
REVERSE,7,academic
REVISE,7,academic
REVOLUTION,7,academic
RHYTHM,6,5
RICH,6,5
RIDE,1,k
RIGHT,3,2
RIGID,7,academic
RING,1,k
RISE,6,5
RIVER,6,5
ROAD,3,2
ROBIN,1,k
ROCK,6,5
ROLE,7,academic
ROLLED,6,5
ROOM,2,1
ROOT,6,5
ROPE,6,5
ROSE,6,5
ROUND,2,1
ROUTE,7,academic
ROW,3,2
RULE,6,5
RUN,0,prek
SAFE,4,3
SAID,0,prek
SAIL,6,5
SAME,5,4
SAND,4,3
SAT,6,5
SAVE,5,4
SAW,1,k
SAY,1,k
SCALE,6,5
SCENARIO,7,academic
SCHEDULE,7,academic
SCHEME,7,academic
SCHOOL,1,k
SCIENCE,6,5
SCIENTISTS,5,4
SCOPE,7,academic
SCORE,6,5
SEA,6,5
SEAT,6,5
SECOND,6,5
SECTION,5,4
SECTOR,7,academic
SECURE,7,academic
SEE,0,prek
SEED,1,k
SEEDS,6,5
SEEK,7,academic
SEEM,5,4
SEEN,6,5
SELECT,7,academic
SELL,6,5
SEND,6,5
SENSE,5,4
SENT,5,4
SENTENCE,1,k
SEPARATE,6,5
SEQUENCE,7,academic
SERIES,7,academic
SERVE,6,5
SET,6,5
SETTLED,4,3
SEVEN,4,3
SEVERAL,6,5
SEX,7,academic
SHALL,4,3
SHAPE,6,5
SHARP,6,5
SHE,1,k
SHEEP,1,k
SHIFT,7,academic
SHIP,5,4
SHOE,1,k
SHOES,6,5
SHOP,6,5
SHORT,5,4
SHOULD,6,5
SHOULDER,6,5
SHOUTED,3,2
SHOW,4,3
SHOWN,3,2
SIDE,6,5
SIGHT,6,5
SIGN,6,5
SIGNIFICANT,7,academic
SILENT,5,4
SIMILAR,6,5
SIMPLE,5,4
SIMULATE,7,academic
SINCE,2,1
SING,3,2
SINGLE,5,4
SIR,6,5
SISTER,1,k
SIT,3,2
SITE,5,4
SIX,4,3
SIZE,6,5
SKIN,4,3
SKY,6,5
SLEEP,3,2
SLOWLY,6,5
SMALL,4,3
SMELL,6,5
SMILED,6,5
SNOW,1,k
SO,1,k
SOFT,6,5
SOIL,5,4
SOLDIERS,4,3
SOLE,7,academic
SOLUTION,6,5
SOLVE,3,2
SOME,2,1
SOMEONE,6,5
SOMETHING,5,4
SOMETIMES,6,5
SOMEWHAT,7,academic
SON,3,2
SONG,1,k
SOON,1,k
SOUND,1,k
SOURCE,7,academic
SOUTH,6,5
SOUTHERN,4,3
SPACE,6,5
SPEAK,3,2
SPECIAL,6,5
SPECIFIC,7,academic
SPECIFY,7,academic
SPEED,6,5
SPELL,6,5
SPHERE,7,academic
SPOT,6,5
SPREAD,6,5
SPRING,5,4
SQUARE,3,2
SQUIRREL,1,k
STABLE,7,academic
STAND,2,1
STARS,3,2
START,2,1
STATE,6,5
STATEMENT,6,5
STATISTIC,7,academic
STATUS,7,academic
STAY,5,4
STEEL,6,5
STEP,6,5
STICK,1,k
STILL,6,5
STONE,6,5
STOOD,5,4
STOP,2,1
STORE,6,5
STORY,2,1
STRAIGHT,6,5
STRAIGHTFORWARD,7,academic
STRANGE,6,5
STRATEGY,7,academic
STREAM,6,5
STREET,1,k
STRESS,7,academic
STRETCHED,6,5
STRING,5,4
STRONG,3,2
STRUCTURE,7,academic
STUDENTS,6,5
STUDY,6,5
STYLE,7,academic
SUBJECT,3,2
SUBMIT,7,academic
SUBORDINATE,7,academic
SUBSEQUENT,7,academic
SUBSIDY,7,academic
SUBSTANCES,6,5
SUBSTITUTE,7,academic
SUCCESSOR,7,academic
SUCH,6,5
SUDDENLY,3,2
SUFFICIENT,7,academic
SUFFIX,6,5
SUGAR,6,5
SUGGESTED,6,5
SUM,5,4
SUMMARY,7,academic
SUMMER,5,4
SUN,1,k
SUPPLEMENT,7,academic
SUPPLY,4,3
SUPPOSE,6,5
SURE,5,4
SURFACE,5,4
SURPRISE,6,5
SURVEY,7,academic
SURVIVE,7,academic
SUSPEND,7,academic
